Danish,English
Arbejde,Work
Job,Job
Karriere,Career
Ansættelse,Employment
Arbejdsgiver,Employer
Arbejdstager,Employee
Løn,Salary
Timeløn,Hourly wage
Månedsløn,Monthly salary
Fuld tid,Full-time
Deltid,Part-time
Overarbejde,Overtime
Ferie,Holiday
Barsel,Maternity leave
Orlov,Leave
Pension,Pension
Kollega,Colleague
Team,Team
Arbejdsplads,Workplace
Kontor,Office
Fabrik,Factory
Byggeplads,Construction site
Skift,Shift
Skiftarbejde,Shift work
Arbejdstid,Working hours
Arbejdsdag,Workday
Arbejdsuge,Work week
Arbejdsår,Work year
Arbejdsbyrde,Workload
Fagforening,Trade union
Arbejdsrettigheder,Labour rights
Arbejdsforhold,Working conditions
Arbejdspladskultur,Workplace culture
Leder,Manager
Medarbejder,Employee
Professionel,Professional
Kollegialt,Collegial
Møde,Meeting
Samarbejde,Cooperation
Opgradering,Upgrade
Forfremmelse,Promotion
Udvikling,Development
Evaluering,Review
Fyring,Dismissal
Ansøgning,Application
CV,Resume
Referencer,References
Interview,Interview
Anbefaling,Recommendation
Jobannonce,Job posting
Jobbeskrivelse,Job description
Jobudsigt,Job outlook
Arbejdssøgning,Job search
Jobsøger,Job seeker
Ansættelsesproces,Recruitment process
Ansættelsessamtale,Job interview
Arbejdspladsens kultur,Workplace culture
Fleksibilitet,Flexibility
Mobilitet,Mobility
Netværk,Network
Træning,Training
Uddannelse,Education
Kompetence,Competence
Erfaring,Experience
Projekt,Project
Kunde,Client
Kundebehandling,Client service
Kundeservice,Customer service
Salg,Sales
Marketing,Marketing
Reklame,Advertisement
Produktion,Production
Logistik,Logistics
Kvalitetssikring,Quality assurance
Innovation,Innovation
Kreativitet,Creativity
Effektivitet,Efficiency
Produktivitet,Productivity
Resultat,Result
Succes,Success
Mål,Goal
Mission,Mission
Vision,Vision
Strategi,Strategy
Plan,Plan
Organisation,Organization
Ledelse,Leadership
Lederskab,Leadership
Teamledelse,Team leadership
Projektledelse,Project management
Tidsstyring,Time management
Beslutningstagning,Decision making
Proces,Process
Analyse,Analysis
Vurdering,Assessment
Rapport,Report
Dokumentation,Documentation
Protokol,Protocol
Struktur,Structure
Effektivisering,Streamlining
Optimering,Optimization
Automatisering,Automation
Digitalisering,Digitization
Globalisering,Globalization
Diversitet,Diversity
Inklusion,Inclusion
Ligestilling,Equality
Fairness,Fairness
Sikkerhed,Safety
Sundhed,Health
Balance,Work-life balance
Stress,Stress
Burnout,Burnout
Fritid,Leisure
Rekreation,Recreation
Afslapning,Relaxation
Familie,Family
Venner,Friends
Hobby,Hobby
Interesse,Interest
Sjov,Fun
Glæde,Joy
Zoneterapi,Zone therapy
Akupunktur,Acupuncture
Massage,Massage
Fitness,Fitness
Yoga,Yoga
Meditation,Meditation
Søvn,Sleep
Ernæring,Nutrition
Sund livsstil,Healthy lifestyle
Trivsel,Well-being
Lykke,Happiness
Selvværd,Self-esteem
Selvrealisering,Self-realization
Personlig vækst,Personal growth
Sociale relationer,Social relationships
Selvudvikling,Self-development
Målrealisering,Goal achievement
Selvstændighed,Independence
Empowerment,Empowerment
Selvkontrol,Self-control
Mod,Bravery
Beslutsomhed,Determination
Uafhængighed,Independence
Selvstændig,Self-employed
Iværksætter,Entrepreneur
Egen virksomhed,Own business
Selvstændig erhvervsdrivende,Self-employed
Arbejdskraft,Labour
Medarbejderressourcer,Employee resources
Arbejdsstyrke,Workforce
Udbud og efterspørgsel,Supply and demand
Arbejdskraftens mobilitet,Labor mobility
Ansøgning om arbejde,Job application
Arbejdspladsens sikkerhed,Workplace safety
Arbejdstilsynet,Labour inspection
Arbejdsmarkedsforhold,Labour market conditions
Arbejdsmarkedsforvaltning,Labour market administration
Arbejdsmarkedsuddannelse,Labour market education
Arbejdsmiljø,Working environment
Arbejdsmiljølovgivning,Working environment legislation
Arbejdsulykke,Work accident
Arbejdsmarkedspolitik,Labour market policy
Arbejdsmarkedsstatistik,Labour market statistics
Arbejdspladsbeskyttelse,Workplace protection
Arbejdsløshed,Unemployment
Arbejdsløshedsrate,Unemployment rate
Arbejdsmiljøspørgsmål,Working environment issues
Arbejdsmarkedsanalyse,Labour market analysis
Arbejdsmarkedstendenser,Labour market trends
Arbejdsmarkedsforskning,Labour market research
Arbejdsrettighedsbevægelse,Labor rights movement
Arbejdsrettighedsforkæmper,Labor rights advocate
Arbejdspladsens sundhed og sikkerhed,Workplace health and safety
Arbejdstagernes rettigheder,Workers' rights
Arbejdsmiljøundersøgelse,Work environment survey
Arbejdsfordeling,Division of labor
Arbejdsglæde,Job satisfaction
Arbejdsmarkedspolitisk,Labour market policy
Arbejdspladsundersøgelse,Workplace survey
Arbejdsrettigheder,Work rights
Arbejdsfleksibilitet,Work flexibility
